question,answer,source_file
"b'Suppose 3*w - 20 = -w. Suppose -40 = -w*d + 3*d - 5*t, 4*d - 5*t = 80. Solve 0*r - 5*r = d for r.\n'",b'-4\n',algebra__linear_1d_composed_train.csv
b'Let d be ((-9)/(-27))/((-1)/33). Let a = d + 16. Solve 4*j = -j - a for j.\n',b'-1\n',algebra__linear_1d_composed_train.csv
"b'Let x(s) = -s**2 - 3*s + 3. Let g be x(0). Suppose -4*c + 20 = -2*r, -2*c + 2*r + g*r + 26 = 0. Solve -2 = -k - c for k.\n'",b'-1\n',algebra__linear_1d_composed_train.csv
b'Let l be 1 + 20/8*-4. Let w = 11 + l. Solve w = -s - s for s.\n',b'-1\n',algebra__linear_1d_composed_train.csv
b'Suppose 29*k + 491 - 926 = 0. Solve -30*l = -k*l - 15 for l.\n',b'1\n',algebra__linear_1d_composed_train.csv
b'Let x be (-14)/(-6) + 4/6. Let u(v) = 3*v**2 - 30*v + 31. Let o be u(9). Solve 23 = o*t + x for t.\n',b'5\n',algebra__linear_1d_composed_train.csv
"b'Suppose 5*a - 35 = -3*h, -25 = -2*h + 5*a + 15. Solve -2*i + 5*i + h = 0 for i.\n'",b'-5\n',algebra__linear_1d_composed_train.csv
b'Let n be 3 + -4 + 0 + (2 - 3). Let d = 1 + -2. Let q be d/n - (-6)/4. Solve 7 = -3*g - q for g.\n',b'-3\n',algebra__linear_1d_composed_train.csv
b'Let l(m) = m. Let f be l(5). Let v(r) = 0*r**2 + 3*r**2 + 2*r - 2*r**2 - 3*r - 8. Let p be v(5). Solve n - p = f*n for n.\n',b'-3\n',algebra__linear_1d_composed_train.csv
b'Let l = -44 + 43. Let i(r) = -r**2 + r + 2. Let c be i(l). Solve c = w - 2*w - 4 for w.\n',b'-4\n',algebra__linear_1d_composed_train.csv
b'Let r = -644 - -680. Solve 11 = 5*i + r for i.\n',b'-5\n',algebra__linear_1d_composed_train.csv
"b'Let b = 7 - -1. Suppose 0 = 4*u + s + 4, u - s - 20 = 4*s. Solve 4*y + u = b for y.\n'",b'2\n',algebra__linear_1d_composed_train.csv
"b'Suppose 0 = -2*f + 6*f + l - 4, -4*l + 16 = -4*f. Let a be f*(4 + -6 + 1). Solve -4*c = -a*c for c.\n'",b'0\n',algebra__linear_1d_composed_train.csv
b'Suppose 204 = 26*k + 12*k - 24. Solve 26*t - 23*t = -k for t.\n',b'-2\n',algebra__linear_1d_composed_train.csv
"b'Suppose -4*f = 3*t - 32, 3*f - 4*t = t - 5. Suppose -6*d + 18 = -30. Suppose -5*c + d*c = 6. Solve -f*h - 7 = -c for h.\n'",b'-1\n',algebra__linear_1d_composed_train.csv
"b'Suppose 3*b = 5*b - m - 35, -b = -3*m - 30. Solve 2*v - 7*v = b for v.\n'",b'-3\n',algebra__linear_1d_composed_train.csv
b'Let n(m) = m + 5. Let j be n(-5). Suppose j = -17*z + 14*z. Suppose 4*f - 9 - 15 = z. Solve 4*h + 2 - f = 0 for h.\n',b'1\n',algebra__linear_1d_composed_train.csv
"b'Suppose 0 = -3*a + 2*n + 17, 3*n - 7*n = -4*a + 28. Solve -11*c + a = -12*c for c.\n'",b'-3\n',algebra__linear_1d_composed_train.csv
b'Let b(i) = -i**2 - i + 1. Let n(v) = 3*v**2 + 16*v + 3. Let g(p) = -b(p) - n(p). Let r be g(-7). Solve -r*q + q + 8 = 0 for q.\n',b'4\n',algebra__linear_1d_composed_train.csv
b'Let s be (-1 - 0)/(5/(-4) + 1). Let c = -4 - -7. Suppose -c = -3*v + 66. Solve -s*h - 3 = -v for h.\n',b'5\n',algebra__linear_1d_composed_train.csv
b'Solve -77*p + 74*p + 15 = 0 for p.\n',b'5\n',algebra__linear_1d_train.csv
b'Solve 2*q = -1 + 1 for q.\n',b'0\n',algebra__linear_1d_train.csv
b'Solve -60*k - 39*k - 145 = 944 for k.\n',b'-11\n',algebra__linear_1d_train.csv
b'Solve -40*k - 179 = -195 - 384 for k.\n',b'10\n',algebra__linear_1d_train.csv
b'Solve 363*f + 836244 - 827895 = 0 for f.\n',b'-23\n',algebra__linear_1d_train.csv
b'Solve 553*z - 161 = 576*z for z.\n',b'-7\n',algebra__linear_1d_train.csv
b'Solve 0 = -7*f + 38 - 17 for f.\n',b'3\n',algebra__linear_1d_train.csv
b'Solve 10 = -8*i + 3*i for i.\n',b'-2\n',algebra__linear_1d_train.csv
